Episode,Score,Steps,AvgScore,Epsilon,QStates
672,1,8,0.46,0.0343,1378
673,0,16,0.44,0.0341,1378
674,0,16,0.44,0.0339,1378
675,0,8,0.44,0.0338,1378
676,1,7,0.45,0.0336,1379
677,0,13,0.45,0.0334,1380
678,1,9,0.46,0.0333,1380
679,2,12,0.48,0.0331,1381
680,1,7,0.49,0.0329,1381
681,0,16,0.49,0.0328,1382
682,1,19,0.50,0.0326,1384
683,0,21,0.50,0.0324,1385
684,1,30,0.51,0.0323,1385
685,0,6,0.51,0.0321,1385
686,1,17,0.51,0.0319,1385
687,1,18,0.52,0.0318,1386
688,0,20,0.51,0.0316,1387
689,1,8,0.52,0.0315,1388
690,0,13,0.52,0.0313,1389
691,0,25,0.52,0.0312,1389
692,1,14,0.52,0.0310,1393
693,2,16,0.53,0.0308,1393
694,0,16,0.52,0.0307,1394
695,1,37,0.53,0.0305,1394
696,1,14,0.53,0.0304,1395
697,0,10,0.53,0.0302,1396
698,1,9,0.53,0.0301,1397
699,0,14,0.53,0.0299,1397
700,1,19,0.54,0.0298,1400
701,0,13,0.52,0.0296,1402
702,1,33,0.53,0.0295,1403
703,1,15,0.53,0.0293,1404
704,0,6,0.53,0.0292,1404
705,0,12,0.52,0.0290,1404
706,0,11,0.50,0.0289,1404
707,0,6,0.50,0.0288,1404
708,0,17,0.50,0.0286,1406
709,1,18,0.50,0.0285,1407
710,0,15,0.49,0.0283,1410
711,0,13,0.49,0.0282,1413
712,2,24,0.51,0.0280,1414
713,0,10,0.51,0.0279,1414
714,1,23,0.50,0.0278,1414
715,1,12,0.51,0.0276,1414
716,1,10,0.51,0.0275,1415
717,1,26,0.50,0.0274,1416
718,0,7,0.50,0.0272,1417
719,0,13,0.50,0.0271,1418
720,1,16,0.51,0.0269,1418
721,2,17,0.52,0.0268,1420
722,0,6,0.52,0.0267,1420
723,0,8,0.52,0.0265,1421
724,0,7,0.51,0.0264,1421
725,1,16,0.50,0.0263,1423
726,1,32,0.51,0.0261,1425
727,1,6,0.51,0.0260,1425
728,2,22,0.52,0.0259,1426
729,1,23,0.53,0.0258,1427
730,0,39,0.53,0.0256,1429
731,0,22,0.53,0.0255,1429
732,2,23,0.55,0.0254,1435
733,2,22,0.57,0.0252,1436
734,2,9,0.59,0.0251,1436
735,1,11,0.60,0.0250,1438
736,0,9,0.60,0.0249,1439
737,1,19,0.61,0.0247,1439
738,0,19,0.60,0.0246,1445
739,0,15,0.60,0.0245,1446
740,1,7,0.58,0.0244,1446
741,1,25,0.58,0.0243,1446
742,0,8,0.58,0.0241,1446
743,1,5,0.58,0.0240,1446
744,0,19,0.58,0.0239,1452
745,1,17,0.59,0.0238,1452
746,1,9,0.59,0.0237,1454
747,0,15,0.59,0.0235,1455
748,0,25,0.58,0.0234,1455
749,1,24,0.58,0.0233,1455
750,1,21,0.59,0.0232,1455
751,1,10,0.60,0.0231,1456
752,1,37,0.60,0.0229,1462
753,0,7,0.60,0.0228,1463
754,0,9,0.59,0.0227,1463
755,1,18,0.60,0.0226,1464
756,1,13,0.61,0.0225,1464
757,0,9,0.61,0.0224,1464
758,1,11,0.62,0.0223,1464
759,0,17,0.62,0.0222,1464
760,1,14,0.63,0.0220,1465
761,0,15,0.63,0.0219,1466
762,1,45,0.64,0.0218,1467
763,0,10,0.64,0.0217,1468
764,1,20,0.63,0.0216,1470
765,1,11,0.64,0.0215,1475
766,1,14,0.64,0.0214,1476
767,1,21,0.63,0.0213,1477
768,0,17,0.62,0.0212,1477
769,0,32,0.62,0.0211,1480
770,0,5,0.62,0.0210,1480
771,0,12,0.62,0.0209,1481
772,1,11,0.62,0.0208,1482
773,2,15,0.64,0.0207,1483
774,1,27,0.65,0.0206,1485
775,0,23,0.65,0.0205,1488
776,1,13,0.65,0.0203,1491
777,1,10,0.66,0.0202,1492
778,1,9,0.66,0.0201,1493
779,1,17,0.65,0.0200,1495
780,0,14,0.64,0.0199,1496
781,1,10,0.65,0.0198,1497
782,1,13,0.65,0.0197,1500
783,3,25,0.68,0.0196,1501
784,1,23,0.68,0.0195,1504
785,2,9,0.70,0.0195,1505
786,0,6,0.69,0.0194,1505
